Bar[Tue Apr  4 17:47:13 2017] from IPv4Address(TCP, '109.163.234.5', 16651) with method: 
Bar[Tue Apr  4 17:47:15 2017] from IPv4Address(TCP, '109.163.234.5', 4398) with method: 
Bar[Tue Apr  4 17:47:17 2017] from IPv4Address(TCP, '109.163.234.5', 50771) with method: 
Bar[Tue Apr  4 17:47:32 2017] from IPv4Address(TCP, '109.163.234.5', 60879) with method: 
Bar[Tue Apr  4 17:47:35 2017] from IPv4Address(TCP, '109.163.234.5', 35432) with method: 
Bar[Tue Apr  4 17:47:38 2017] from IPv4Address(TCP, '109.163.234.5', 39346) with method: 
Bar[Tue Apr  4 18:27:20 2017] from IPv4Address(TCP, '217.170.201.106', 56671) with method: 
Bar[Tue Apr  4 18:37:27 2017] from IPv4Address(TCP, '188.4.174.127', 64988) with method: 
Bar[Tue Apr  4 18:37:39 2017] from IPv4Address(TCP, '188.4.174.127', 64994) with method: 
Bar[Tue Apr  4 18:38:12 2017] from IPv4Address(TCP, '188.4.174.127', 65019) with method: 
Bar[Tue Apr  4 18:39:33 2017] from IPv4Address(TCP, '188.4.174.127', 65069) with method: 
Bar[Tue Apr  4 18:40:56 2017] from IPv4Address(TCP, '188.4.174.127', 65107) with method: 
Bar[Tue Apr  4 18:41:07 2017] from IPv4Address(TCP, '188.4.174.127', 65123) with method: 
Bar[Tue Apr  4 18:41:09 2017] from IPv4Address(TCP, '188.4.174.127', 65124) with method: 
Bar[Tue Apr  4 18:41:10 2017] from IPv4Address(TCP, '188.4.174.127', 65125) with method: 
Bar[Tue Apr  4 18:41:12 2017] from IPv4Address(TCP, '188.4.174.127', 65130) with method: 
Bar[Tue Apr  4 18:48:20 2017] from IPv4Address(TCP, '188.4.174.127', 49157) with method: 
Bar[Tue Apr  4 18:48:46 2017] from IPv4Address(TCP, '188.4.174.127', 49165) with method: 
Bar[Tue Apr  4 19:24:17 2017] from IPv4Address(TCP, '188.4.174.127', 49947) with method: 
Bar[Tue Apr  4 19:28:44 2017] from IPv4Address(TCP, '188.4.174.127', 50024) with method: 
Bar[Tue Apr  4 19:30:28 2017] from IPv4Address(TCP, '188.4.174.127', 50043) with method: 
Bar[Tue Apr  4 19:30:34 2017] from IPv4Address(TCP, '188.4.174.127', 50044) with method: 
Bar[Tue Apr  4 19:30:37 2017] from IPv4Address(TCP, '188.4.174.127', 50045) with method: 
Bar[Tue Apr  4 19:39:52 2017] from IPv4Address(TCP, '188.4.174.127', 50207) with method: 
Bar[Tue Apr  4 19:40:17 2017] from IPv4Address(TCP, '188.4.174.127', 50209) with method: 
